rank,ratio,compact,cx,cy,cz,hi_n,lo_n,total_n
0,22.9087,1,36.9567,17.5976,-1.25614,2284,20540,22824
1,20.1441,0.970297,4.88039,1.36054,-0.756214,781,7015,7796
2,14.1314,1,26.729,12.4563,0.0924462,982,8364,9346
3,13.6848,0.953125,40.6165,18.9611,-2.05253,131,1160,1291
4,10.4775,0.969579,50.0619,22.6314,-1.75192,2956,8318,11274
5,10.4514,0.987952,8.31164,2.82918,-0.715663,1955,14703,16658
6,9.91222,1,9.13668,4.82982,-1.02739,10119,36015,46134
7,7.96763,1,61.8314,28.7194,-1.52221,2384,2224,4608
8,7.91092,1,46.8626,19.9672,-0.973648,4715,42419,47134
9,7.88292,1,49.543,23.4902,-0.978483,2515,22619,25134
10,7.24334,0.999199,42.352,17.8064,-0.338031,3849,34623,38472
11,6.89682,1,55.0682,27.8222,-0.504099,657,239,896
12,6.01611,1,41.2303,17.475,-1.62552,4081,16098,20179
13,5.99881,0.971871,44.1679,21.8113,-1.16336,6731,13538,20269
14,5.85757,0.971983,47.5218,23.9904,-1.44092,582,5219,5801
15,5.53141,1,44.4645,20.7018,-2.03815,392,3517,3909
16,5.39943,0.966353,37.5736,15.6853,-0.444463,3784,34044,37828
17,5.2654,1,50.1398,22.4486,-1.69326,18902,34935,53837
18,5.20322,1,63.4647,28.9157,-1.80852,2365,3850,6215
19,5.09102,0.960357,22.5734,8.83145,-0.109814,4675,42058,46733
20,5.04818,0.980214,32.2012,13.1996,-0.304261,4035,36296,40331
